hyperparameters,Accuracy_score
"('squared_error', 'random', 42, 91, np.float64(-9.210340371976182))",-0.18089150656848502
"('absolute_error', 'random', 32, 61, np.float64(-8.846774304661333))",-0.11582242780257979
"('poisson', 'best', 42, 71, np.float64(-8.483208237346483))",-0.18089150656848502
"('squared_error', 'best', 32, 91, np.float64(-8.119642170031634))",-0.18089150656848502
"('poisson', 'random', 22, 1, np.float64(-7.756076102716785))",0.5265582166122593
"('absolute_error', 'best', 42, 31, np.float64(-7.392510035401935))",-0.11582242780257979
"('poisson', 'best', 42, 31, np.float64(-7.028943968087086))",-0.18089150656848502
"('squared_error', 'random', 2, 91, np.float64(-6.665377900772237))",-0.18089150656848502
"('absolute_error', 'random', 42, 11, np.float64(-6.301811833457387))",0.12370452642263571
"('friedman_mse', 'best', 22, 71, np.float64(-5.938245766142538))",-0.18089150656848502
"('absolute_error', 'best', 22, 81, np.float64(-5.574679698827689))",-0.11582242780257979
"('squared_error', 'random', 12, 51, np.float64(-5.2111136315128395))",-0.18089150656848502
"('squared_error', 'best', 42, 51, np.float64(-4.84754756419799))",-0.18089150656848502
"('squared_error', 'random', 2, 71, np.float64(-4.483981496883141))",-0.18089150656848502
"('friedman_mse', 'random', 22, 91, np.float64(-4.1204154295682915))",-0.18089150656848502
"('friedman_mse', 'best', 22, 81, np.float64(-3.7568493622534422))",-0.18089150656848502
"('squared_error', 'best', 12, 41, np.float64(-3.393283294938593))",-0.18089150656848502
"('absolute_error', 'random', 32, 51, np.float64(-3.0297172276237436))",-0.11582242780257979
"('friedman_mse', 'random', 32, 91, np.float64(-2.6661511603088943))",-0.18089150656848502
"('poisson', 'random', 32, 41, np.float64(-2.3025850929940455))",-0.18089150656848502
"('poisson', 'best', 2, 51, np.float64(-7.207116318841438))",-0.18089150656848502
"('friedman_mse', 'best', 22, 91, np.float64(-7.712934932174832))",-0.18089150656848502
"('squared_error', 'best', 42, 21, np.float64(-7.553903835856799))",0.3039186534928403
"('poisson', 'best', 22, 51, np.float64(-8.906486893522299))",-0.18089150656848502
"('absolute_error', 'random', 12, 51, np.float64(-8.131763525904828))",-0.11582242780257979
"('squared_error', 'best', 32, 61, np.float64(-8.846774304661333))",-0.18089150656848502
