hyperparameters,Accuracy_score
"('huber', 1543, 2, 50, np.float64(-9.210340371976182))",-0.16857158684548645
"('squared_error', 1387, 22, 50, np.float64(-8.846774304661333))",-0.18089150656848502
"('absolute_error', 1543, 32, 10, np.float64(-8.483208237346483))",0.7294877861779271
"('squared_error', 1387, 12, 30, np.float64(-8.119642170031634))",-0.18089150656848502
"('huber', 953, 42, 30, np.float64(-7.756076102716785))",-0.16857158684548645
"('squared_error', 1713, 12, 20, np.float64(-7.392510035401935))",0.4621922855066297
"('huber', 3146, 32, 60, np.float64(-7.028943968087086))",-0.16857158684548645
"('absolute_error', 1543, 32, 20, np.float64(-6.665377900772237))",0.4259856903183084
"('quantile', 1382, 22, 60, np.float64(-6.301811833457387))",-3.4521142315980926
"('squared_error', 1713, 42, 60, np.float64(-5.938245766142538))",-0.18089150656848502
"('absolute_error', 1713, 32, 50, np.float64(-5.574679698827689))",-0.11696940762083408
"('absolute_error', 1543, 42, 10, np.float64(-5.2111136315128395))",0.7244610105912692
"('absolute_error', 3146, 32, 30, np.float64(-4.84754756419799))",-0.11696940762083408
"('squared_error', 1382, 42, 90, np.float64(-4.483981496883141))",-0.18089150656848502
"('huber', 1390, 42, 80, np.float64(-4.1204154295682915))",-0.16857158684548645
"('absolute_error', 1390, 2, 10, np.float64(-3.7568493622534422))",0.7019901790825591
"('squared_error', 1091, 32, 90, np.float64(-3.393283294938593))",-0.18089150656848502
"('quantile', 1713, 42, 20, np.float64(-3.0297172276237436))",-0.0692405838999415
"('absolute_error', 1382, 42, 50, np.float64(-2.6661511603088943))",-0.11696940762083408
"('huber', 3146, 12, 70, np.float64(-2.3025850929940455))",-0.16857158684548645
"('quantile', 1390, 12, 50, np.float64(-3.4348590939279626))",-3.4521142315980926
"('quantile', 1382, 12, 40, np.float64(-6.4550920774347835))",-3.4521142315980926
"('quantile', 1543, 22, 50, np.float64(-9.190703200104188))",-3.4521142315980926
"('squared_error', 1390, 2, 90, np.float64(-4.538851179093586))",-0.18089150656848502
"('absolute_error', 1382, 32, 10, np.float64(-6.041303578036329))",0.7289829801001263
"('huber', 1390, 2, 30, np.float64(-7.392510035401935))",-0.16857158684548645
