hyperparameters,Accuracy_score
"(np.float64(-9.210340371976182), 'relu', 80, 60, 200)",-5.03438501456205
"(np.float64(-8.846774304661333), 'tanh', 140, 200, 180)",-0.11956773460807582
"(np.float64(-8.483208237346483), 'relu', 0, 40, 20)",-33.85147518869189
"(np.float64(-8.119642170031634), 'relu', 140, 180, 60)",-10.094870547677825
"(np.float64(-7.756076102716785), 'logistic', 0, 180, 140)",-0.4332919925348829
"(np.float64(-7.392510035401935), 'tanh', 0, 80, 40)",-0.23620030734496883
"(np.float64(-7.028943968087086), 'identity', 40, 20, 140)",-4.914083546391542
"(np.float64(-6.665377900772237), 'logistic', 120, 60, 140)",-0.5916117289293809
"(np.float64(-6.301811833457387), 'logistic', 140, 100, 40)",0.11268389918342811
"(np.float64(-5.938245766142538), 'relu', 200, 200, 80)",-2.9209401318117223
"(np.float64(-5.574679698827689), 'tanh', 60, 120, 160)",-0.19064410956614591
"(np.float64(-5.2111136315128395), 'identity', 140, 80, 100)",-198.3721926818074
"(np.float64(-4.84754756419799), 'identity', 160, 120, 60)",-7.140532110491694
"(np.float64(-4.483981496883141), 'tanh', 100, 40, 80)",-0.19552785336682604
"(np.float64(-4.1204154295682915), 'relu', 80, 100, 100)",-5.131896343513839
"(np.float64(-3.7568493622534422), 'identity', 40, 140, 200)",-45.83959964509451
"(np.float64(-3.393283294938593), 'logistic', 160, 180, 120)",-0.5112182643149152
"(np.float64(-3.0297172276237436), 'relu', 40, 80, 40)",-19.909232186106898
"(np.float64(-2.6661511603088943), 'logistic', 140, 20, 180)",-0.3573904893223334
"(np.float64(-2.3025850929940455), 'identity', 80, 40, 80)",-172.17526250266943
"(np.float64(-7.045234000831632), 'logistic', 80, 0, 40)",-0.07469598910644126
"(np.float64(-4.033517479296717), 'logistic', 40, 60, 160)",-0.7795643782649928
"(np.float64(-6.914639429195639), 'identity', 40, 20, 140)",-104.44092975485367
"(np.float64(-6.850037425471948), 'tanh', 0, 40, 80)",-0.7094175965825306
"(np.float64(-4.758598966390159), 'tanh', 160, 180, 20)",-0.6059846502559729
"(np.float64(-5.574679698827689), 'logistic', 80, 120, 160)",-0.15520854073129076
