hyperparameters,Accuracy_score
"(399, 'poisson', 22, 51, np.float64(-9.210340371976182))",-0.17752799021208387
"(199, 'absolute_error', 12, 1, np.float64(-8.846774304661333))",0.7891292178359346
"(325, 'poisson', 32, 41, np.float64(-8.483208237346483))",-0.17854006845636733
"(325, 'friedman_mse', 42, 21, np.float64(-8.119642170031634))",-0.17584690717425705
"(38, 'poisson', 22, 31, np.float64(-7.756076102716785))",-0.16998921307074233
"(350, 'absolute_error', 42, 1, np.float64(-7.392510035401935))",-0.12937664173383068
"(325, 'poisson', 22, 81, np.float64(-7.028943968087086))",-0.18139525425948638
"(350, 'friedman_mse', 22, 61, np.float64(-6.665377900772237))",-0.17849995074666963
"(42, 'friedman_mse', 22, 41, np.float64(-6.301811833457387))",-0.179473372787317
"(199, 'squared_error', 12, 91, np.float64(-5.938245766142538))",-0.1881726804904676
"(38, 'poisson', 22, 81, np.float64(-5.574679698827689))",-0.17303008804426462
"(350, 'absolute_error', 22, 21, np.float64(-5.2111136315128395))",-0.13493579579657733
"(103, 'squared_error', 12, 71, np.float64(-4.84754756419799))",-0.18439942372279017
"(399, 'friedman_mse', 22, 31, np.float64(-4.483981496883141))",-0.18458274566923205
"(350, 'absolute_error', 42, 1, np.float64(-4.1204154295682915))",-0.12507593779346837
"(399, 'absolute_error', 22, 51, np.float64(-3.7568493622534422))",-0.11869367417106225
"(388, 'friedman_mse', 12, 21, np.float64(-3.393283294938593))",-0.17778471138211005
"(350, 'friedman_mse', 42, 71, np.float64(-3.0297172276237436))",-0.18412468298699125
"(325, 'poisson', 12, 61, np.float64(-2.6661511603088943))",-0.18621632621071738
"(199, 'absolute_error', 42, 41, np.float64(-2.3025850929940455))",-0.12478407917132006
"(42, 'squared_error', 22, 91, np.float64(-6.247230786053223))",-0.17658369079761566
"(388, 'friedman_mse', 32, 61, np.float64(-5.283764988453408))",-0.18011448441744354
"(388, 'absolute_error', 42, 51, np.float64(-4.592595865256299))",-0.13242114093432844
"(399, 'absolute_error', 12, 41, np.float64(-5.204324342901371))",-0.12700221928468985
"(33, 'absolute_error', 32, 91, np.float64(-8.688723200593662))",-0.12304715410123018
"(399, 'absolute_error', 2, 1, np.float64(-8.846774304661333))",0.8425990430228908
