hyperparameters,Accuracy_score
"('poisson', 'best', 22, 51, np.float64(-9.210340371976182))",-0.19820054429920747
"('squared_error', 'random', 32, 81, np.float64(-8.846774304661333))",-0.19820054429920747
"('poisson', 'random', 2, 81, np.float64(-8.483208237346483))",-0.19820054429920747
"('poisson', 'random', 22, 61, np.float64(-8.119642170031634))",-0.19820054429920747
"('absolute_error', 'random', 22, 71, np.float64(-7.756076102716785))",-0.15684722521493827
"('friedman_mse', 'best', 22, 41, np.float64(-7.392510035401935))",-0.19820054429920747
"('absolute_error', 'random', 32, 81, np.float64(-7.028943968087086))",-0.15684722521493827
"('friedman_mse', 'best', 12, 91, np.float64(-6.665377900772237))",-0.19820054429920747
"('squared_error', 'random', 2, 51, np.float64(-6.301811833457387))",-0.19820054429920747
"('poisson', 'random', 2, 21, np.float64(-5.938245766142538))",-0.19820054429920747
"('friedman_mse', 'best', 2, 81, np.float64(-5.574679698827689))",-0.19820054429920747
"('poisson', 'best', 12, 31, np.float64(-5.2111136315128395))",-0.19820054429920747
"('poisson', 'best', 42, 11, np.float64(-4.84754756419799))",0.1851663827566234
"('absolute_error', 'best', 22, 81, np.float64(-4.483981496883141))",-0.15684722521493827
"('squared_error', 'random', 22, 31, np.float64(-4.1204154295682915))",-0.19820054429920747
"('poisson', 'best', 32, 41, np.float64(-3.7568493622534422))",-0.19820054429920747
"('squared_error', 'random', 2, 41, np.float64(-3.393283294938593))",-0.19820054429920747
"('friedman_mse', 'random', 12, 31, np.float64(-3.0297172276237436))",-0.19820054429920747
"('absolute_error', 'random', 12, 91, np.float64(-2.6661511603088943))",-0.15684722521493827
"('squared_error', 'random', 2, 81, np.float64(-2.3025850929940455))",-0.19820054429920747
"('squared_error', 'random', 2, 21, np.float64(-5.329358950718387))",-0.19820054429920747
"('squared_error', 'best', 32, 31, np.float64(-4.566646775456839))",-0.19820054429920747
"('friedman_mse', 'best', 32, 1, np.float64(-7.715547128365226))",0.3095757104482879
"('poisson', 'best', 42, 1, np.float64(-5.329266938688638))",0.18516638275662356
"('friedman_mse', 'random', 42, 71, np.float64(-6.524123215021647))",-0.19820054429920747
"('friedman_mse', 'random', 12, 71, np.float64(-4.716858327503862))",-0.19820054429920747
