hyperparameters,Accuracy_score
"('huber', 1260, 32, 40, np.float64(-9.210340371976182))",-0.18279168637589432
"('absolute_error', 3466, 32, 60, np.float64(-8.846774304661333))",-0.15903758145463093
"('squared_error', 1260, 42, 60, np.float64(-8.483208237346483))",-0.19820054429920675
"('squared_error', 611, 2, 10, np.float64(-8.119642170031634))",0.5842731684972226
"('absolute_error', 2380, 32, 10, np.float64(-7.756076102716785))",0.691532852755873
"('huber', 1175, 12, 60, np.float64(-7.392510035401935))",-0.18279168637589432
"('squared_error', 1569, 32, 50, np.float64(-7.028943968087086))",-0.19820054429920675
"('huber', 2380, 12, 10, np.float64(-6.665377900772237))",0.7085193537407841
"('quantile', 2077, 2, 90, np.float64(-6.301811833457387))",-3.709401068731669
"('huber', 1260, 22, 50, np.float64(-5.938245766142538))",-0.18279168637589432
"('quantile', 611, 2, 90, np.float64(-5.574679698827689))",-3.709401068731669
"('absolute_error', 2077, 12, 10, np.float64(-5.2111136315128395))",0.6837854155448658
"('squared_error', 2393, 42, 10, np.float64(-4.84754756419799))",0.5308120801925741
"('absolute_error', 1260, 22, 20, np.float64(-4.483981496883141))",0.545544127593779
"('huber', 2393, 32, 40, np.float64(-4.1204154295682915))",-0.18279168637589432
"('quantile', 611, 2, 60, np.float64(-3.7568493622534422))",-3.709401068731669
"('absolute_error', 2077, 32, 80, np.float64(-3.393283294938593))",-0.15903758145463093
"('huber', 2393, 32, 40, np.float64(-3.0297172276237436))",-0.18279168637589432
"('huber', 3466, 2, 10, np.float64(-2.6661511603088943))",0.7085193188866575
"('absolute_error', 2729, 12, 90, np.float64(-2.3025850929940455))",-0.15903758145463093
"('squared_error', 3466, 12, 60, np.float64(-4.852015135707833))",-0.19820054429920675
"('squared_error', 1569, 12, 80, np.float64(-5.94318317613193))",-0.19820054429920675
"('squared_error', 2393, 2, 60, np.float64(-4.84754756419799))",-0.19820054429920675
"('absolute_error', 611, 22, 80, np.float64(-5.16781550963064))",-0.15903758145463093
"('quantile', 2729, 42, 70, np.float64(-8.110002177798275))",-3.709401068731669
"('huber', 2380, 22, 10, np.float64(-8.134539407060648))",0.7045238759241117
