hyperparameters,Accuracy_score
"(np.float64(-9.210340371976182), 'relu', 100, 140, 0)",-2.491275535927695
"(np.float64(-8.846774304661333), 'tanh', 200, 160, 160)",0.1215156311770495
"(np.float64(-8.483208237346483), 'identity', 140, 120, 80)",-77.03502301497399
"(np.float64(-8.119642170031634), 'tanh', 160, 20, 40)",-0.1753422119219913
"(np.float64(-7.756076102716785), 'tanh', 180, 140, 120)",-1.251454701294412
"(np.float64(-7.392510035401935), 'relu', 180, 20, 0)",-7.068379347492407
"(np.float64(-7.028943968087086), 'logistic', 180, 60, 60)",-0.5313777961566286
"(np.float64(-6.665377900772237), 'logistic', 60, 60, 0)",-0.17601744708424916
"(np.float64(-6.301811833457387), 'logistic', 80, 40, 40)",0.08736461061270379
"(np.float64(-5.938245766142538), 'relu', 180, 180, 40)",-4.937069268276711
"(np.float64(-5.574679698827689), 'identity', 140, 200, 0)",-8.99710142439281
"(np.float64(-5.2111136315128395), 'relu', 180, 60, 120)",-2.719183318040095
"(np.float64(-4.84754756419799), 'relu', 200, 120, 120)",-3.0422076793487705
"(np.float64(-4.483981496883141), 'identity', 120, 40, 60)",-22.407156689452037
"(np.float64(-4.1204154295682915), 'identity', 160, 100, 200)",-5.286790644879846
"(np.float64(-3.7568493622534422), 'logistic', 160, 160, 140)",-0.39549813623976837
"(np.float64(-3.393283294938593), 'relu', 200, 100, 80)",-2.7649844766710805
"(np.float64(-3.0297172276237436), 'tanh', 40, 160, 140)",-0.3331370976012188
"(np.float64(-2.6661511603088943), 'identity', 40, 160, 160)",-6.761168807784511
"(np.float64(-2.3025850929940455), 'logistic', 20, 0, 160)",-0.2140080076534569
"(np.float64(-4.519257050231923), 'logistic', 40, 200, 140)",-0.31219859144800766
"(np.float64(-2.629936278342769), 'identity', 0, 80, 0)",-63.018237096501785
"(np.float64(-2.6661511603088943), 'logistic', 20, 160, 20)",0.05475128746635732
"(np.float64(-8.288491308134033), 'logistic', 20, 180, 160)",-0.5544643072537938
"(np.float64(-9.112135289457028), 'logistic', 160, 20, 20)",-0.17359259218027534
"(np.float64(-6.483094929116343), 'relu', 60, 60, 0)",-45.99976496290124
