hyperparameters,Accuracy_score
"(187, 'friedman_mse', 42, 81, np.float64(-9.210340371976182))",-0.20518336296399486
"(68, 'absolute_error', 22, 51, np.float64(-8.846774304661333))",-0.13838318605885497
"(43, 'squared_error', 22, 51, np.float64(-8.483208237346483))",-0.19244735627014592
"(187, 'poisson', 22, 31, np.float64(-8.119642170031634))",-0.20529483481681016
"(143, 'poisson', 22, 81, np.float64(-7.756076102716785))",-0.18656412745827866
"(43, 'poisson', 2, 91, np.float64(-7.392510035401935))",-0.18419480882878608
"(264, 'absolute_error', 2, 41, np.float64(-7.028943968087086))",-0.13897645156312022
"(189, 'squared_error', 42, 21, np.float64(-6.665377900772237))",-0.19395657904453867
"(214, 'absolute_error', 32, 51, np.float64(-6.301811833457387))",-0.13728199266624513
"(189, 'poisson', 2, 81, np.float64(-5.938245766142538))",-0.20494505058621082
"(43, 'poisson', 22, 81, np.float64(-5.574679698827689))",-0.1905415115264455
"(189, 'friedman_mse', 22, 51, np.float64(-5.2111136315128395))",-0.1881990487424387
"(175, 'friedman_mse', 22, 51, np.float64(-4.84754756419799))",-0.18710432423204976
"(169, 'poisson', 42, 61, np.float64(-4.483981496883141))",-0.1964342458763248
"(189, 'friedman_mse', 32, 21, np.float64(-4.1204154295682915))",-0.1958884604909319
"(175, 'absolute_error', 32, 1, np.float64(-3.7568493622534422))",-0.1093058307824496
"(68, 'absolute_error', 32, 61, np.float64(-3.393283294938593))",-0.14718794589967038
"(143, 'poisson', 22, 51, np.float64(-3.0297172276237436))",-0.19934560009857005
"(264, 'squared_error', 22, 71, np.float64(-2.6661511603088943))",-0.19483355617885217
"(193, 'squared_error', 2, 61, np.float64(-2.3025850929940455))",-0.18228183175115498
"(187, 'poisson', 2, 1, np.float64(-8.605543794959521))",0.869910025304233
"(43, 'absolute_error', 12, 51, np.float64(-8.732332782190987))",-0.1399696708887978
"(43, 'poisson', 12, 91, np.float64(-6.301811833457387))",-0.18552794998622119
"(264, 'poisson', 2, 61, np.float64(-8.125596675828131))",-0.20190557005206744
"(175, 'friedman_mse', 12, 51, np.float64(-2.462590274392971))",-0.20147389505880614
"(143, 'poisson', 12, 71, np.float64(-7.244012973102524))",-0.19710651176799726
