hyperparameters,Accuracy_score
"('poisson', 'random', 32, 81, np.float64(-9.210340371976182))",-0.15942565027682748
"('friedman_mse', 'best', 2, 1, np.float64(-8.846774304661333))",-0.6098753481402104
"('poisson', 'best', 12, 41, np.float64(-8.483208237346483))",-0.15942565027682748
"('poisson', 'random', 22, 91, np.float64(-8.119642170031634))",-0.15942565027682748
"('friedman_mse', 'best', 32, 11, np.float64(-7.756076102716785))",-0.024380089356708684
"('absolute_error', 'random', 32, 21, np.float64(-7.392510035401935))",-0.09813288126386904
"('squared_error', 'best', 22, 81, np.float64(-7.028943968087086))",-0.15942565027682748
"('squared_error', 'best', 42, 51, np.float64(-6.665377900772237))",-0.15942565027682748
"('friedman_mse', 'best', 12, 71, np.float64(-6.301811833457387))",-0.15942565027682748
"('friedman_mse', 'best', 42, 61, np.float64(-5.938245766142538))",-0.15942565027682748
"('squared_error', 'best', 22, 21, np.float64(-5.574679698827689))",-0.10065358238765781
"('poisson', 'random', 32, 51, np.float64(-5.2111136315128395))",-0.15942565027682748
"('friedman_mse', 'best', 32, 51, np.float64(-4.84754756419799))",-0.15942565027682748
"('poisson', 'best', 2, 21, np.float64(-4.483981496883141))",-0.10065358238765765
"('absolute_error', 'random', 42, 31, np.float64(-4.1204154295682915))",-0.09813288126386904
"('poisson', 'random', 42, 91, np.float64(-3.7568493622534422))",-0.15942565027682748
"('poisson', 'random', 32, 41, np.float64(-3.393283294938593))",-0.15942565027682748
"('squared_error', 'best', 12, 31, np.float64(-3.0297172276237436))",-0.15942565027682748
"('poisson', 'best', 12, 51, np.float64(-2.6661511603088943))",-0.15942565027682748
"('absolute_error', 'random', 12, 41, np.float64(-2.3025850929940455))",-0.09813288126386904
"('absolute_error', 'random', 22, 11, np.float64(-3.2027583650155673))",0.07000519307562492
"('absolute_error', 'random', 12, 51, np.float64(-5.176527162227614))",-0.09813288126386904
"('friedman_mse', 'random', 32, 51, np.float64(-2.6661511603088943))",-0.15942565027682748
"('friedman_mse', 'random', 2, 61, np.float64(-9.026160015434915))",-0.15942565027682748
"('poisson', 'random', 32, 31, np.float64(-5.139001306854358))",-0.15942565027682748
"('squared_error', 'random', 42, 41, np.float64(-3.2027583650155673))",-0.15942565027682748
