hyperparameters,Accuracy_score
"('quantile', 3078, 12, 70, np.float64(-9.210340371976182))",-2.3260411068713074
"('squared_error', 762, 12, 60, np.float64(-8.846774304661333))",-0.15942565027682787
"('quantile', 2744, 42, 40, np.float64(-8.483208237346483))",-2.3260411068713074
"('huber', 762, 42, 60, np.float64(-8.119642170031634))",-0.13370038062687772
"('squared_error', 3370, 32, 80, np.float64(-7.756076102716785))",-0.15942565027682787
"('huber', 3573, 22, 80, np.float64(-7.392510035401935))",-0.13370038062687772
"('quantile', 2309, 22, 30, np.float64(-7.028943968087086))",-2.3260411068713074
"('huber', 762, 42, 90, np.float64(-6.665377900772237))",-0.13370038062687772
"('quantile', 3078, 2, 90, np.float64(-6.301811833457387))",-2.3260411068713074
"('huber', 762, 32, 10, np.float64(-5.938245766142538))",0.102944112177976
"('squared_error', 2309, 22, 60, np.float64(-5.574679698827689))",-0.15942565027682787
"('squared_error', 2744, 42, 30, np.float64(-5.2111136315128395))",-0.15942565027682787
"('squared_error', 2309, 2, 80, np.float64(-4.84754756419799))",-0.15942565027682787
"('quantile', 3573, 42, 50, np.float64(-4.483981496883141))",-2.3260411068713074
"('quantile', 2309, 2, 50, np.float64(-4.1204154295682915))",-2.3260411068713074
"('squared_error', 3672, 22, 60, np.float64(-3.7568493622534422))",-0.15942565027682787
"('huber', 3931, 12, 90, np.float64(-3.393283294938593))",-0.13370038062687772
"('huber', 3672, 32, 50, np.float64(-3.0297172276237436))",-0.13370038062687772
"('quantile', 3931, 42, 20, np.float64(-2.6661511603088943))",-0.3149325881189614
"('absolute_error', 2309, 42, 90, np.float64(-2.3025850929940455))",-0.0984358468731657
"('huber', 2878, 12, 40, np.float64(-8.35008814381138))",-0.13370038062687772
"('huber', 2878, 42, 60, np.float64(-7.836390675065235))",-0.13370038062687772
"('squared_error', 3672, 42, 80, np.float64(-9.004476210007137))",-0.15942565027682787
"('quantile', 3370, 42, 40, np.float64(-8.083292226847872))",-2.3260411068713074
"('huber', 3931, 32, 60, np.float64(-8.085215236223869))",-0.13370038062687772
"('huber', 3931, 2, 90, np.float64(-4.226710242260729))",-0.13370038062687772
