hyperparameters,Accuracy_score
"(np.float64(-9.210340371976182), 'identity', 180, 20, 20)",-399.9875933563617
"(np.float64(-8.846774304661333), 'relu', 100, 160, 200)",-14.415888496076661
"(np.float64(-8.483208237346483), 'tanh', 40, 0, 20)",-0.5985096783038959
"(np.float64(-8.119642170031634), 'tanh', 60, 140, 200)",0.06708605428007616
"(np.float64(-7.756076102716785), 'relu', 100, 40, 200)",-9.513881368946906
"(np.float64(-7.392510035401935), 'tanh', 100, 160, 80)",0.17305463698045304
"(np.float64(-7.028943968087086), 'tanh', 60, 200, 200)",-0.23572969873406435
"(np.float64(-6.665377900772237), 'identity', 120, 40, 60)",-27.675131794728493
"(np.float64(-6.301811833457387), 'tanh', 120, 120, 120)",-0.19384008764633967
"(np.float64(-5.938245766142538), 'identity', 0, 180, 160)",-179.21107945655217
"(np.float64(-5.574679698827689), 'logistic', 20, 100, 180)",-0.47558326523098243
"(np.float64(-5.2111136315128395), 'relu', 120, 40, 20)",-18.464216737782174
"(np.float64(-4.84754756419799), 'tanh', 160, 120, 0)",0.04475365119302843
"(np.float64(-4.483981496883141), 'relu', 140, 20, 80)",-4.643592819536874
"(np.float64(-4.1204154295682915), 'tanh', 160, 40, 40)",-0.38420695708374436
"(np.float64(-3.7568493622534422), 'identity', 40, 200, 40)",-14.5854411408284
"(np.float64(-3.393283294938593), 'logistic', 0, 0, 40)",-0.24042018552409913
"(np.float64(-3.0297172276237436), 'tanh', 180, 40, 200)",-0.5806446654023317
"(np.float64(-2.6661511603088943), 'tanh', 80, 200, 0)",-0.2875422734401904
"(np.float64(-2.3025850929940455), 'relu', 160, 160, 40)",-26.001190274266914
"(np.float64(-6.01101787240612), 'tanh', 80, 0, 160)",-0.16862098982232854
"(np.float64(-6.676513473066427), 'identity', 140, 80, 200)",-196.07423859574845
"(np.float64(-2.3025850929940455), 'identity', 200, 40, 40)",-617.3062078503931
"(np.float64(-4.1172731711822514), 'tanh', 40, 0, 100)",-1.0010940825728993
"(np.float64(-8.015756281465997), 'relu', 180, 40, 120)",-35.00900498147633
"(np.float64(-4.468681802920469), 'identity', 20, 120, 80)",-438.3271769916693
