hyperparameters,Accuracy_score
"(61, 'squared_error', 42, 11, np.float64(-9.210340371976182))",-0.15351208675076317
"(163, 'absolute_error', 12, 81, np.float64(-8.846774304661333))",-0.1481499978325429
"(42, 'squared_error', 12, 71, np.float64(-8.483208237346483))",-0.13760461511684596
"(206, 'absolute_error', 42, 91, np.float64(-8.119642170031634))",-0.14678616823400242
"(285, 'poisson', 2, 91, np.float64(-7.756076102716785))",-0.16387656625045677
"(63, 'absolute_error', 42, 11, np.float64(-7.392510035401935))",-0.1419609167674184
"(93, 'poisson', 22, 91, np.float64(-7.028943968087086))",-0.1596665081899019
"(163, 'absolute_error', 2, 11, np.float64(-6.665377900772237))",0.14031972658214456
"(93, 'squared_error', 42, 61, np.float64(-6.301811833457387))",-0.15937594891796125
"(61, 'squared_error', 22, 21, np.float64(-5.938245766142538))",-0.16466099466013007
"(93, 'friedman_mse', 12, 41, np.float64(-5.574679698827689))",-0.1756639251970291
"(163, 'squared_error', 22, 31, np.float64(-5.2111136315128395))",-0.1501672979710203
"(285, 'squared_error', 12, 51, np.float64(-4.84754756419799))",-0.16501862084928653
"(163, 'poisson', 2, 91, np.float64(-4.483981496883141))",-0.17537421354587396
"(24, 'squared_error', 32, 11, np.float64(-4.1204154295682915))",-0.1505638399516131
"(93, 'absolute_error', 32, 81, np.float64(-3.7568493622534422))",-0.14889000882008063
"(63, 'poisson', 22, 81, np.float64(-3.393283294938593))",-0.1640746322096444
"(63, 'squared_error', 12, 91, np.float64(-3.0297172276237436))",-0.1628311504000668
"(206, 'absolute_error', 2, 11, np.float64(-2.6661511603088943))",0.13259639642678317
"(61, 'poisson', 32, 11, np.float64(-2.3025850929940455))",-0.15418588789301635
"(220, 'absolute_error', 42, 11, np.float64(-3.539838584115964))",-0.1457556985649709
"(93, 'absolute_error', 2, 1, np.float64(-8.570857856617812))",0.15644204236120351
"(206, 'squared_error', 22, 11, np.float64(-3.577475897402792))",0.09152329122490904
"(285, 'poisson', 12, 61, np.float64(-4.944644801362889))",-0.1642551672981553
"(63, 'squared_error', 2, 81, np.float64(-3.7337242619612336))",-0.14009111721819273
"(61, 'squared_error', 2, 11, np.float64(-7.8042776528847435))",0.08014385082762865
