csd,n_atoms,n_basis,homo_lumo_gap_eV,cis_s1_eV,cis_s1_osc_strength,dipole_debye,GapC,AtomNumC,MolWtS,RhoC,EpsilonC,GW_QP_BandGap,GWBSE_EsC,Singlet_binding
ABECAL,46,158,8.258212700040177,3.8606580909525565,0.07044651998456944,1.856337615412796,1.13712,184.0,354.0,0.793748576,3.191412427,2.6971,2.1356259,0.5614740999999999
ANTCEN,24,80,9.628759415365982,5.476256709450815,0.27878693410426536,1.841770190606804e-12,1.95118,48.0,178.0,0.749904862,3.001917481,3.76159,3.2168041,0.5447858999999999
BEANTR,26,98,8.383629748679601,1.1754497364740526,0.0003900951291726191,1.771025572946907,2.0243,60.0,228.0,0.741438725,2.938142534,4.00223,3.2670943,0.7351356999999998
BENZEN,12,36,14.941253797103078,7.744100083232087,5.489856047878127e-05,6.793101060768017e-14,4.3761,48.0,78.0,0.635486702,3.003321315,7.014600000000001,4.8282489,2.1863511000000004
BIFUOR,44,148,12.058066253441892,6.831271677884054,0.20891490013747416,0.4057920633112259,2.99476,176.0,330.0,0.744847862,3.438733559,5.32828,4.4139433,0.9143367000000007
BIPHEN,22,70,12.995540933992364,7.469161657932746,0.27259688130980037,1.8274055865066834e-12,3.20463,44.0,154.0,0.714323203,2.887370424,4.7128,3.4126252,1.3001747999999997
BNPERY,17,61,6.341163659122816,0.7905505491348319,4.439473521195048e-05,4.462185695491472,2.09305,136.0,276.0,0.81162796,3.759170062,3.2213000000000003,2.8045423,0.41675770000000023
BNPYRE10,19,71,3.3157174240898257,0.9393614108193551,0.0005174570680125478,9.150447849535515,1.733,128.0,252.0,0.814769314,3.242602659,3.3215000000000003,2.9755384,0.3459616000000003
BZPHAN,30,102,10.582600671643128,5.869706884828583,0.00265127148730603,0.051566982679338805,2.57503,120.0,228.0,0.76058179,3.026866864,4.38752,3.3788514,1.0086686000000005
CEQGEL,32,112,10.058917553146852,5.826803058914281,0.36619829981487656,0.03536993806950944,2.3321,128.0,252.0,0.791672874,3.117740156,4.123100000000001,3.3634875,0.7596125000000007
CORONE01,36,132,9.424663615941814,4.833462775584299,9.391467487889473e-06,2.9213831432133556e-09,2.38216,72.0,300.0,0.837556386,3.889899875,3.6237999999999997,2.9635309,0.6602690999999998
CORXAI10,52,188,7.714218264832305,4.320457285611987,1.4563584574767428,0.045623031748578985,1.39752,208.0,426.0,0.875969218,4.233726686,2.7760000000000002,2.4150578,0.3609422000000002
CRYSEN01,30,102,10.829205573356777,6.10652939122902,0.17379970502067016,4.605665207779716e-13,2.41607,120.0,228.0,0.776715202,3.641015627,4.26898,3.6552724,0.6137076000000001
DBNTHR02,36,124,10.205612503958,5.704899679527802,0.032417522466150414,6.432812911722946e-12,2.34285,144.0,278.0,0.77122269,3.067309133,4.19861,3.2362545,0.9623555000000006
DBPERY,44,156,8.485246769877675,4.760353417058029,1.761693145228636,3.845527881587441e-06,1.56823,176.0,352.0,0.835639249,3.961356503,3.0420000000000003,2.7618301,0.2801699000000002
DBPHEN02,36,124,10.575484984024122,5.7096351860121155,0.0002368399203436152,0.12167990763275115,2.36323,144.0,278.0,0.774091069,3.077811357,4.145160000000001,3.1756736,0.9694864000000005
DBZCOR,48,176,8.836514420959896,4.784409207980102,9.523430313910154e-05,4.364144837494964e-06,1.86136,192.0,400.0,0.878092671,3.460587003,3.2274000000000003,2.913633,0.31376700000000035
DNAPAN,29,105,7.622036523212331,0.06925654357383824,0.0004113675797194498,4.512799588303306,1.84295,192.0,378.0,0.790114335,3.133036736,3.0377000000000005,2.9664736,0.07122640000000047
DPANTR01,44,148,9.150205223638743,5.064699445083816,0.6756481160561929,3.190662877813214e-12,1.90796,176.0,330.0,0.744865923,2.997518953,3.85895,3.4440651,0.4148849000000001
FOVVOB,52,172,12.114309774551081,6.9684707293129,0.6235820387365429,0.08964268508089088,3.20712,208.0,382.0,0.723631141,3.340036465,5.2601700000000005,4.5595593,0.7006107000000004
IZUCIP,52,180,10.024951784004596,5.767168008766577,0.3502837935423049,0.1611497131781871,2.33334,208.0,404.0,0.80162552,3.766089671,4.021,3.2439752,0.7770248
KAFVUI,26,98,3.396007404848262,1.0462559017090405,0.0006189152242537396,11.382453413005596,1.92366,155.0,302.0,0.840797746,3.345396586,3.5067999999999997,2.9792467,0.5275532999999997
KAGGAC,30,102,6.831850336455457,0.6235058453401761,0.001404112011246756,4.075547014717641,1.2495,152.0,538.0,0.719552634,2.946589916,2.8299000000000003,2.3715108,0.4583892000000005
KAGGEG,38,134,7.275591135932285,3.9184957310247204,1.7586213266996937,5.063081624900163e-12,0.83777,76.0,302.0,0.845400362,4.050972956,1.9845000000000002,1.7970317,0.18746830000000014
KAQLEV,23,91,4.3841570674839385,0.34397544149592674,0.0009230850613474242,6.639866682778294,1.93488,96.0,757.0,0.845114176,3.390203686,3.4022000000000006,2.9906,0.4116000000000004
KEGHEJ01,22,78,9.429901163568243,4.069276691636241,2.9682717271417285e-20,4.0615796226552216e-09,0.97361,44.0,176.0,0.787444705,3.6297586,2.87026,2.0847079,0.7855520999999999
KIDJUD03,52,172,11.896188329528819,6.902443751787885,0.6468982880169711,4.7355210233440294e-12,3.1591,52.0,382.0,0.725047015,2.924365464,5.30937,4.3955126,0.9138574000000004
KUBWAF01,46,158,9.41618957623422,5.189459649030123,0.7567831161630283,0.023554091119523245,1.81304,184.0,354.0,0.767610865,3.071155053,3.73173,3.0464575,0.6852725000000004
KUZXUA,48,176,8.925152419490942,4.95474561693667,0.17490307933112276,0.01879437832811298,1.98991,96.0,801.0,0.891011689,3.535812629,3.4148000000000005,2.803,0.6118000000000006
NAPANT01,27,103,5.733776277876041,0.6528982387693849,0.0007006026862600211,8.859473729319031,0.81726,104.0,426.0,0.851472861,4.03458698,2.0002,1.7437359,0.2564641000000001
OVALEN01,46,174,7.625790168036908,4.361299004685591,0.5070760264317962,1.9040635121585762e-12,1.69062,92.0,398.0,0.890904158,4.221137411,2.9936999999999996,2.594562,0.39913799999999977
PENCEN,36,124,7.272843995118904,3.916576075692766,0.5886597426073602,2.0529257588909304e-12,0.64213,72.0,278.0,0.804047554,3.810192314,1.9294000000000002,1.7222853,0.2071147000000002
PERLEN05,32,112,8.857644669959413,5.014471808793562,1.0553080123693594,0.02226031478074319,1.45177,128.0,252.0,0.836083434,3.345156156,3.0968999999999998,2.61,0.4868999999999999
PERLEN07,32,112,8.717473162946424,4.91184150179142,1.0556809118470236,1.0996949840412036e-12,1.34019,64.0,252.0,0.84609077,3.405227426,2.8165,2.4542657,0.3622342999999999
PEZPIU,52,180,9.852502458081087,4.865823617213883,0.13703876089829517,0.42105140087376236,1.8442,208.0,404.0,0.755580981,3.461697941,3.7730099999999998,3.0631178,0.7098921999999996
PEZPUG,52,180,9.743016645635988,4.947117254197261,0.19015840511378024,0.3121815810291017,1.8275,208.0,404.0,0.780592356,3.157019377,3.70269,2.9610907,0.7415992999999999
PHNAPH,46,166,6.41251632264604,3.1275444276748656,0.851401432339072,3.807170019635173e-12,0.82855,92.0,376.0,0.838170274,3.329241061,1.8747999999999998,1.6139542,0.2608457999999998
POBPIG06,48,176,7.74600590226751,4.247476182152023,2.1343904244980285,1.709073007052212e-05,1.2192,96.0,400.0,0.778426156,3.069857647,2.4973,2.1347726,0.3625274000000003
POBPIG,33,125,8.481516108320605,0.9694127874292713,0.0028241815683188337,3.378785945530651,1.20874,192.0,400.0,0.83568488,3.333495466,2.6708,2.2104583,0.46034169999999985
PUJQIV,30,110,6.588034279796455,1.084190394868836,0.0001874799833974108,2.76607939963047,1.60792,68.0,254.0,0.766777951,3.13670104,3.4691099999999997,2.1162568,1.3528531999999998
PUNVIE,26,98,5.971957573171547,0.44876228699580767,0.0229310885120646,2.057732012556699,3.18407,124.0,458.0,0.721445526,2.899940029,5.37781,4.3848871,0.9929228999999999
PYRCEN,26,82,11.755681389592617,6.8026405839907085,0.28018575742748464,1.4636603880138614e-12,2.69078,52.0,180.0,0.784167771,3.856489488,4.700010000000001,3.948761,0.7512490000000005
PYRPYR10,46,166,8.922821082104226,5.218273552066331,0.5775037333558977,0.05512101541392846,1.873,184.0,376.0,0.830449183,3.306474758,3.5662000000000003,2.9649742,0.6012258000000004
QUATER10,30,110,5.876760973267651,0.27058277158391064,0.0002256877194396971,1.318687684567442,0.62756,240.0,500.0,0.893558729,3.586833984,1.6360999999999999,1.3255102,0.3105897999999998
QUPHEN01,42,138,10.860153011994674,6.168502626922931,1.9962691620706279,0.0009376527681398614,2.39894,168.0,306.0,0.78099569,3.236288487,4.32261,3.6993736,0.6232364000000001
QUPHEN,42,138,10.523409627779621,5.937249024885196,2.1201114097924183,5.9441283765991505e-12,2.34457,84.0,306.0,0.755926873,3.055511834,4.2285900000000005,3.5504337,0.6781563000000004
RAKGOA,42,154,10.092432793406191,5.684983736149919,0.002101377412425267,0.856191119008864,2.27602,336.0,350.0,0.878699687,3.472898052,4.1167,3.4005776,0.7161223999999997
REBWIE,48,168,9.175793715706693,4.661209881372356,0.2010729950950645,0.2925036432304425,1.77077,192.0,378.0,0.803659291,3.208564317,3.4017,2.7802993,0.6214007000000001
SANQII,36,124,9.551888776120682,5.34651406404874,0.11140313098889196,0.015632673272689326,2.19687,144.0,278.0,0.789828345,3.69571024,3.9546,3.3342287,0.6203713
SURTAA,25,101,5.708543389420764,0.5593782420628155,2.7830039696268326e-05,4.163745562733248,1.69915,144.0,300.0,0.836848758,3.339176828,3.2249,2.6882557,0.5366442999999999
TBZPER,52,188,8.143899006640282,4.5673736600559955,1.331180612152997,0.0781768500102263,1.70135,416.0,426.0,0.836773424,3.92453522,3.212,2.7558297,0.45617030000000014
TBZPYR,44,156,8.952582614358272,5.048213953385283,0.7427124239989046,0.17403216710887712,1.84585,88.0,352.0,0.83029039,3.304521146,3.5979,2.6568044,0.9410956000000001
TEBNAP,42,146,9.86650001134554,5.462667736273411,0.3517810520819236,0.010651512056212956,2.37185,168.0,328.0,0.796166253,3.72714488,4.1766000000000005,3.3444888,0.8321112000000004
